Name,Valid adjective #0,Valid adjective #1,Valid adjective #2,Valid adjective #3,Valid adjective #4
Australian Capital Territory,Canberran,Canberrans,"""Inlanders""","""Round Abouters""","""Canberries"""
New South Wales,New South Welsh,New South Welshmen,"""Waratahs""","""Cockroaches""","""Blues"""
Northern Territory,Northern Territory,Northern Territorians,Territorians,"""Top Enders""","""Ex-pats"""
Queensland,Queensland,Queenslanders,"""Banana Benders""","""Cane Toads""","""Maroons"""
South Australia,South Australian,South Australians,"""Crow Eaters""",,
Tasmania,Tasmanian,Tasmanians,"""Apple Eaters""",Tasmanic,"""Tazzies"""
Victoria,Victorian,Victorians,"""Vics""","""Mexicans""",
Western Australia,Western Australian,Western Australians,"""Sandgropers""","""Westralians""",
